,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
68510,037751,P,01,LC,20342.0,57672.0,2021-01-15,
68512,037752,P,01,LC,20447.0,57775.0,2021-01-15,
68516,037753,P,02,LC,20804.0,57739.0,2021-03-08,2022-12-30
68520,037755,P,02,LC,20851.0,57768.0,2021-03-08,
68527,037756,P,02,LC,20885.0,57791.0,2021-03-15,2021-11-18
68528,037756,P,02,LC,22352.0,58993.0,2021-11-19,2023-06-08
68540,037759,P,02,LC,20877.0,57784.0,2021-03-05,2022-12-02
68543,037763,P,01,LC,19312.0,57001.0,2021-01-22,
68553,037771,P,02,LC,20852.0,57769.0,2021-03-15,2022-12-09
68557,037772,P,02,LC,20872.0,57780.0,2021-03-15,2022-12-30
68558,037773,P,90,LC,20593.0,57930.0,2021-02-05,
68560,037775,P,01,LC,20553.0,57875.0,2021-02-03,
68562,037776,P,01,LC,20445.0,57774.0,2021-01-22,
68566,037778,P,01,LC,20700.0,58031.0,2021-03-09,
68570,037779,P,02,LC,21028.0,57916.0,2021-04-09,
68574,037780,P,03,LC,20744.0,57893.0,2021-03-25,2023-11-07
68578,037781,P,01,LC,21268.0,58277.0,2021-05-04,2022-10-24
68582,037782,P,02,LC,20780.0,57724.0,2021-03-18,
68586,037783,P,02,LC,20841.0,57760.0,2021-03-18,
68587,037784,P,01,LC,20435.0,57748.0,2021-01-29,2023-08-31
68591,037785,P,02,LC,20820.0,57752.0,2021-03-19,
68592,037786,P,01,LC,20578.0,57914.0,2021-02-05,
68594,037787,P,01,LC,20465.0,57795.0,2021-02-03,
68598,037788,P,02,LC,20770.0,57718.0,2021-03-09,2021-09-30
68601,037790,P,01,LC,20471.0,57799.0,2021-02-11,
68606,037792,P,02,LC,20676.0,57679.0,2021-03-19,2022-12-09
68607,037793,P,01,LC,20344.0,57673.0,2021-01-21,
68612,037794,P,02,LC,20772.0,57719.0,2021-03-22,2022-01-25
68613,037794,P,02,LC,22679.0,59140.0,2022-01-26,
68617,037795,P,02,LC,20743.0,57698.0,2021-03-19,
68621,037797,P,02,LC,21044.0,57932.0,2021-04-05,
68626,037798,P,02,LC,20778.0,57927.0,2021-03-29,2022-01-13
68627,037798,P,02,LC,22643.0,59127.0,2022-01-14,
68628,037799,P,01,LC,20430.0,57743.0,2021-01-27,
68629,037800,P,90,LC,20691.0,58027.0,2021-03-11,
68630,037802,P,01,LC,20584.0,57922.0,2021-02-05,
68631,037803,P,01,LC,20615.0,57964.0,2021-02-05,
68635,037804,P,02,LC,20821.0,57946.0,2021-03-29,2023-02-28
68639,037805,P,02,LC,20595.0,57733.0,2021-02-25,2023-01-31
68643,037806,P,02,LC,20824.0,57947.0,2021-03-29,2022-12-30
68644,037807,P,01,LC,20609.0,57953.0,2021-02-12,
68645,037808,P,01,LC,20613.0,57958.0,2021-02-12,
68649,037809,P,02,LC,20724.0,57870.0,2021-03-10,
68653,037810,P,02,LC,20801.0,57738.0,2021-03-15,
68655,037811,P,01,LC,20470.0,57798.0,2021-02-11,2023-03-31
68657,037812,P,90,LC,20604.0,57944.0,2021-02-05,
68658,037813,P,01,LC,21941.0,58733.0,2021-09-29,
68660,037814,P,90,LC,20524.0,57857.0,2021-02-09,
68665,037815,P,02,LC,20741.0,57891.0,2021-03-26,2023-11-08
68669,037816,P,02,LC,20827.0,57950.0,2021-03-26,
68674,037817,P,02,LC,20739.0,57884.0,2021-03-29,
68678,037818,P,02,LC,20775.0,57721.0,2021-03-22,2022-12-08
68682,037819,P,03,LC,20679.0,57858.0,2021-03-29,2023-08-01
68683,037819,P,03,LC,24086.0,59615.0,2023-08-02,
68687,037820,P,02,LC,20777.0,57924.0,2021-03-30,2022-12-20
68688,037820,P,02,LC,23617.0,59457.0,2022-12-21,
68692,037821,P,02,LC,20712.0,57866.0,2021-03-25,2022-12-30
68697,037823,P,02,LC,20878.0,57982.0,2021-03-29,2023-12-29
68698,037824,P,01,LC,20469.0,57797.0,2021-02-10,
68699,037825,P,01,LC,20630.0,57979.0,2021-02-04,
68700,037826,P,01,LC,20568.0,57906.0,2021-02-11,2022-03-31
68704,037827,P,02,LC,20879.0,57985.0,2021-03-25,
68709,037829,P,02,LC,20716.0,57867.0,2021-03-26,2022-12-30
68712,037830,P,02,LC,21043.0,57931.0,2021-04-01,2023-05-09
68716,037831,P,02,LC,21050.0,57935.0,2021-04-16,2023-02-28
68720,037832,P,02,LC,20871.0,57976.0,2021-03-29,2023-07-31
68722,037834,P,01,LC,20599.0,57936.0,2021-02-05,2021-08-24
68726,037835,P,03,LC,20932.0,57861.0,2021-04-19,2023-10-31
68730,037837,P,02,LC,20748.0,57896.0,2021-03-26,2023-02-09
68737,037839,P,02,LC,21052.0,58107.0,2021-04-16,
68738,037840,P,01,LC,20610.0,57954.0,2021-02-05,2023-10-05
