,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
58105,029689,P,01,LU,80264.0,12832.0,1994-02-08,2000-12-29
58108,029690,P,01,LC,80285.0,12829.0,1994-02-08,1999-07-20
58111,029691,C,01,LU,80287.0,12831.0,1994-02-08,1995-06-07
58114,029692,C,00X,LU,80290.0,12828.0,1994-02-08,1994-02-27
58115,029692,P,01,LU,80290.0,12828.0,1994-02-28,2005-01-06
58117,029693,P,01,LU,80190.0,30248.0,1994-02-09,2006-02-28
58119,029694,P,01,LU,80231.0,12833.0,1994-02-09,1998-12-31
58121,029695,P,01,LU,80238.0,12836.0,1994-02-09,1998-10-30
58124,029697,C,01,LU,80270.0,12837.0,1994-02-09,1996-12-18
58126,029698,P,01,LU,80274.0,12835.0,1994-02-09,
58128,029699,P,90,LU,80201.0,30259.0,1994-02-10,1998-10-31
58130,029701,P,01,LU,80212.0,30267.0,1994-02-09,2005-03-31
58133,029702,C,00X,LU,80281.0,12834.0,1994-02-09,1994-02-27
58134,029702,P,01,LU,80281.0,12834.0,1994-02-28,1999-05-13
58137,029703,P,01,LC,80214.0,30269.0,1994-02-09,1998-02-25
58139,029704,P,01,LU,80192.0,30250.0,1994-02-10,1998-03-31
58141,029705,P,01,LU,80233.0,12843.0,1994-02-10,
58144,029706,P,01,LU,80255.0,12842.0,1994-02-10,2000-05-25
58146,029707,P,01,LU,80209.0,30264.0,1994-02-10,2001-08-31
58149,029708,C,00X,LU,80265.0,12840.0,1994-02-10,1994-02-27
58150,029708,P,01,LU,80265.0,12840.0,1994-02-28,2001-01-03
58152,029709,P,01,LU,80279.0,12841.0,1994-02-10,2011-02-28
58155,029710,P,01,LC,76697.0,10972.0,1994-01-31,2016-03-23
58162,029711,C,01,LU,83325.0,31403.0,1996-04-18,2002-05-22
58165,029712,P,01,LU,80253.0,12847.0,1994-02-11,1998-11-30
58167,029713,P,01,LU,80272.0,12844.0,1994-02-11,1997-04-30
58172,029715,P,01,LU,80225.0,12849.0,1994-02-14,1998-07-31
58174,029716,P,01,LU,79993.0,12711.0,1993-12-21,2000-06-30
58177,029717,C,01,LU,80278.0,12852.0,1994-02-14,1998-12-02
58179,029718,P,01,LC,16573.0,55853.0,2017-01-26,2023-04-28
58182,029720,P,01,LC,80292.0,12850.0,1994-03-31,1998-02-27
58184,029721,P,01,LC,16990.0,56100.0,2017-10-20,
58186,029722,P,01,LU,80236.0,12846.0,1994-02-11,2021-12-31
58188,029723,P,01,LU,80199.0,30255.0,1994-02-15,1999-02-26
58189,029724,P,01,LU,80200.0,30256.0,1994-02-15,
58195,029728,P,01,LU,80256.0,12857.0,1994-02-16,2004-06-30
58199,029729,C,01,LC,80258.0,12854.0,1994-02-16,1998-02-03
58200,029729,C,01,LC,80258.0,12854.0,2000-07-28,2009-12-16
58203,029730,C,01,LU,80261.0,12858.0,1994-10-31,1995-04-18
58209,029731,P,01,LU,80226.0,12861.0,1994-02-17,1998-01-12
58212,029732,P,01,LC,80250.0,12862.0,1994-02-17,1995-11-24
58214,029733,P,01,LC,80204.0,30260.0,1994-02-17,
58216,029734,P,01,LU,80254.0,12859.0,1994-02-17,2020-07-31
58218,029736,P,01,LU,80286.0,12863.0,1994-02-18,
58220,029739,P,01,LC,80198.0,30254.0,1994-02-18,1995-10-24
58222,029741,P,01,LU,80245.0,12866.0,1994-02-18,2009-10-31
58224,029742,P,01,LC,17219.0,56208.0,2010-05-29,2012-10-12
58225,029742,P,01,LC,80202.0,30257.0,1994-02-18,1998-12-18
58226,029742,P,01,LC,86484.0,34961.0,1998-12-21,2010-05-28
58228,029743,P,01,LC,17218.0,56207.0,2010-05-29,2012-08-24
58229,029743,P,01,LC,80203.0,30258.0,1994-02-18,1998-12-18
58230,029743,P,01,LC,86483.0,34961.0,1998-12-21,2010-05-28
58231,029744,P,01,LU,80206.0,30262.0,1994-02-18,
58232,029745,P,01,LU,80207.0,30263.0,1994-02-18,2004-04-30
58235,029746,C,01,LC,80257.0,12867.0,1994-02-18,2009-05-22
58240,029751,P,01,LU,80191.0,30249.0,1994-03-11,
58243,029753,P,01,LU,80217.0,30271.0,1994-02-22,2000-11-30
58245,029754,P,01,LU,80221.0,12869.0,1994-02-23,1997-08-29
58249,029755,P,01,LC,80193.0,30251.0,1994-02-23,
58252,029756,P,01,LU,80241.0,12872.0,1994-02-23,2007-10-31
58255,029757,P,01,LU,80243.0,12870.0,1994-02-23,2003-07-07
58261,029760,P,01,LC,16582.0,55859.0,2017-02-03,
58264,029761,P,01,LU,80240.0,12879.0,1994-02-25,1998-11-05
58266,029762,P,01,LC,80237.0,12874.0,1994-02-24,2019-12-31
58269,029763,C,00X,LU,80244.0,12873.0,1994-02-24,1994-02-27
58270,029763,P,01,LU,80244.0,12873.0,1994-02-28,1999-02-24
58273,029764,P,01,LC,88667.0,40146.0,2000-10-11,2003-10-30
58275,029766,P,01,LU,80260.0,12878.0,1994-02-24,1998-06-30
58280,029767,P,01,LU,84654.0,31501.0,1997-04-30,1999-11-30
58284,029768,C,00X,LU,80282.0,12877.0,1994-02-24,1994-02-27
58285,029768,P,01,LU,80282.0,12877.0,1994-02-28,1997-04-28
58294,029775,P,01,LU,80228.0,12875.0,1994-02-24,1997-05-30
