,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
2,001000,P,01,LU,25881.0,23369.0,1970-11-13,1978-06-30
4,001001,P,01,LU,10015.0,6398.0,1983-09-20,1986-07-31
8,001002,C,01,LC,10023.0,22159.0,1972-12-14,1973-06-05
11,001003,C,01,LU,10031.0,6672.0,1983-12-07,1989-08-16
14,001004,P,01,LU,54594.0,20000.0,1972-04-24,
16,001005,C,01,LU,61903.0,11.0,1973-01-31,1983-01-31
20,001007,C,00X,LU,10058.0,20.0,1973-10-01,1979-01-30
21,001007,P,01,LU,10058.0,20.0,1979-01-31,1984-09-28
24,001008,P,01,LC,10066.0,6331.0,1983-08-25,1987-02-26
28,001009,C,01,LC,10074.0,5271.0,1982-01-18,1996-03-13
30,001010,C,00X,LU,10006.0,22156.0,1950-05-01,1962-01-30
31,001010,P,01,LU,10006.0,22156.0,1962-01-31,1984-06-28
34,001011,P,01,LC,10082.0,5793.0,1983-03-21,1995-09-28
37,001012,P,01,LU,10103.0,52.0,1978-01-31,1989-12-29
39,001013,P,01,LU,50906.0,2902.0,1979-03-16,2010-12-31
44,001015,P,01,LU,66405.0,5204.0,1982-01-29,1986-10-31
46,001016,C,00X,LC,10146.0,314.0,1973-11-01,1977-11-29
47,001016,P,01,LC,10146.0,314.0,1977-11-30,1988-04-26
50,001017,P,01,LC,10154.0,81.0,1972-12-14,1996-02-29
53,001018,C,00X,LU,10162.0,88.0,1973-07-01,1979-01-30
54,001018,C,01,LU,10162.0,88.0,1979-01-31,1981-03-04
58,001019,C,01,LC,10189.0,93.0,1972-12-14,1988-02-09
63,001020,P,02,LC,68806.0,100.0,1972-12-14,1988-04-05
66,001021,P,01,LU,10218.0,109.0,1980-10-14,1999-03-19
68,001022,C,00X,LU,10234.0,118.0,1973-07-01,1976-08-30
69,001022,P,01,LU,10234.0,118.0,1976-08-31,1983-07-28
72,001023,P,01,LU,66755.0,5542.0,1982-06-09,1988-10-05
74,001024,P,01,LU,10269.0,6202.0,1983-07-21,1984-09-28
76,001025,C,01,LU,47351.0,306.0,1973-01-31,1985-03-19
79,001026,P,01,LU,10277.0,134.0,1972-12-14,1978-05-31
81,001027,P,01,LU,28601.0,23555.0,1966-01-31,1971-05-28
83,001028,P,01,LU,10285.0,5148.0,1981-10-29,1992-01-31
85,001029,P,01,LU,10293.0,6069.0,1983-06-15,1985-10-31
87,001030,C,01,LU,10306.0,145.0,1973-01-31,1974-10-16
88,001031,C,00X,LU,10014.0,22157.0,1960-04-01,1966-01-30
89,001031,P,01,LU,10014.0,22157.0,1966-01-31,1977-03-31
95,001034,P,01,LC,65832.0,20007.0,1984-02-15,2008-12-29
100,001036,C,01,LC,65453.0,20008.0,1983-12-06,2001-05-31
104,001037,C,01,LU,10314.0,255.0,1980-10-07,1988-08-25
107,001038,P,01,LU,66413.0,6301.0,1983-08-18,2004-12-31
111,001039,P,01,LC,50526.0,25132.0,1970-04-29,1979-11-30
112,001040,C,00X,LU,15763.0,22631.0,1950-01-01,1962-01-30
113,001040,P,01,LU,15763.0,22631.0,1962-01-31,1985-10-31
116,001042,P,01,LU,10365.0,5554.0,1982-06-21,1985-06-28
119,001043,C,00X,LC,18980.0,20009.0,1949-08-01,1962-01-30
120,001043,C,01,LC,18980.0,20009.0,1962-01-31,1982-04-27
121,001043,C,01,LC,18980.0,20009.0,1984-05-10,1993-05-19
122,001043,C,01,LC,80071.0,30061.0,1993-12-06,2000-01-27
125,001044,C,01,LU,37591.0,21816.0,1968-01-31,1970-06-30
128,001045,C,00X,LC,21020.0,20010.0,1950-01-01,1962-01-30
129,001045,P,01,LC,21020.0,20010.0,1962-01-31,2012-01-04
130,001045,P,04,LC,21020.0,20010.0,2013-12-09,
133,001046,P,01,LU,10373.0,7023.0,1984-05-11,1985-05-31
136,001047,C,01,LU,10381.0,3182.0,1981-08-12,1983-05-31
140,001049,P,01,LU,10400.0,304.0,1976-01-30,1982-05-26
142,001050,P,01,LC,11499.0,176.0,1980-11-28,
144,001051,C,00X,LC,41961.0,24580.0,1968-01-02,1968-12-31
145,001052,C,00X,LU,10402.0,311.0,1973-04-01,1979-01-30
146,001052,P,01,LU,10402.0,311.0,1979-01-31,1983-03-31
149,001054,P,01,LU,10429.0,5118.0,1981-10-01,1994-09-30
152,001055,P,01,LU,85041.0,7357.0,1984-12-20,1997-08-29
153,001056,C,00X,LC,62500.0,336.0,1973-07-01,1977-06-29
154,001056,P,01,LC,62500.0,336.0,1977-06-30,2007-08-15
155,001057,C,00X,LC,10030.0,22160.0,1964-01-01,1967-01-30
156,001057,P,01,LC,10030.0,22160.0,1967-01-31,1967-12-29
161,001058,C,01,LU,28636.0,23557.0,1962-07-02,1986-10-30
164,001059,P,01,LU,58958.0,25619.0,1972-12-14,1981-03-31
165,001061,C,00X,LU,10445.0,340.0,1973-04-01,1979-01-30
166,001061,P,01,LU,10445.0,340.0,1979-01-31,1980-10-31
167,001062,P,01,LU,26649.0,20015.0,1965-01-29,
175,001065,C,01,LU,71239.0,5894.0,1983-04-04,1991-07-19
178,001066,C,01,LC,55335.0,1911.0,1984-01-31,1986-12-04
181,001067,C,00X,LC,28652.0,23559.0,1962-07-02,1966-01-30
182,001067,P,01,LC,28652.0,23559.0,1966-01-31,1984-01-30
187,001069,C,01,LU,10480.0,6509.0,1983-10-18,1984-10-16
188,001070,C,00X,LC,21549.0,23079.0,1968-01-01,1968-01-30
189,001070,P,01,LC,21549.0,23079.0,1968-01-31,1981-04-30
192,001072,C,00X,LC,56899.0,25544.0,1973-01-01,1973-03-29
193,001072,C,01,LC,56899.0,25544.0,1973-03-30,1990-01-18
194,001072,C,01,LC,81912.0,30930.0,1995-08-15,2020-03-27
197,001073,C,01,LU,10496.0,422.0,1981-03-09,1996-08-28
200,001074,P,01,LU,49648.0,25078.0,1969-12-04,1982-12-31
202,001075,P,01,LU,27991.0,21409.0,1962-01-31,
205,001076,P,01,LC,10517.0,5674.0,1982-11-04,1992-12-31
207,001076,P,01,LC,10517.0,5674.0,2010-12-01,
209,001076,P,02,LC,78049.0,5674.0,1993-01-01,2010-11-30
211,001077,C,00X,LU,10525.0,346.0,1973-07-01,1979-01-30
212,001077,P,01,LU,10525.0,346.0,1979-01-31,1980-09-30
213,001078,C,00X,LC,20482.0,20017.0,1950-01-01,1962-01-30
214,001078,P,01,LC,20482.0,20017.0,1962-01-31,
216,001079,C,00X,LC,10541.0,349.0,1961-01-01,1969-01-30
217,001079,P,01,LC,10541.0,349.0,1969-01-31,1976-09-30
218,001080,C,00X,LU,28660.0,23561.0,1962-10-01,1963-12-30
219,001080,P,01,LU,28660.0,23561.0,1963-12-31,1976-04-30
224,001081,P,01,LC,10560.0,20019.0,1987-07-16,2007-10-26
228,001082,P,01,LC,10568.0,5580.0,1982-06-29,2011-08-31
232,001083,C,01,LC,44231.0,4531.0,1977-12-30,1980-01-31
233,001083,C,01,LC,44231.0,4531.0,1981-08-31,1988-04-06
239,001086,C,01,LU,76876.0,10835.0,1991-06-28,1994-02-23
240,001087,P,01,LU,10584.0,30.0,1981-03-03,1983-11-30
242,001088,P,01,LC,10592.0,149.0,1978-09-21,1986-02-05
245,001089,P,01,LC,10613.0,22208.0,1972-12-14,1979-11-30
248,001091,P,01,LU,64688.0,5803.0,1983-02-11,1987-07-31
250,001092,P,01,LU,10621.0,34.0,1981-08-13,1983-04-29
253,001093,P,01,LC,10640.0,50.0,1972-12-14,1987-03-31
256,001094,P,01,LC,10656.0,37.0,1972-12-14,2019-10-02
258,001095,P,01,LC,10123.0,9754.0,1989-09-07,2002-06-14
267,001097,P,01,LC,10664.0,47.0,1972-12-14,1994-09-30
270,001097,P,02,LC,11647.0,47.0,1994-10-01,2004-12-03
272,001098,C,01,LC,10057.0,20020.0,1968-01-01,1996-07-02
275,001099,P,01,LC,63837.0,156.0,1972-12-14,2000-11-30
278,001100,P,01,LC,10672.0,46.0,1972-12-14,1985-06-28
279,001101,P,01,LU,28679.0,23562.0,1973-01-31,1978-01-31
283,001103,C,01,LU,28695.0,23564.0,1966-01-31,1988-07-13
286,001104,P,01,LU,60038.0,370.0,1972-12-14,
290,001106,C,01,LU,10699.0,5193.0,1982-01-28,1986-10-31
295,001108,C,01,LC,51510.0,20021.0,1970-11-11,1996-10-18
299,001109,C,01,LC,85084.0,7338.0,1984-12-12,1985-12-26
300,001109,C,01,LC,85084.0,7338.0,1986-09-22,2009-04-24
304,001111,C,00X,LC,10701.0,6060.0,1983-06-09,1985-05-30
305,001111,C,02,LC,10701.0,6060.0,1985-05-31,1991-03-28
306,001111,C,02,LC,79678.0,12499.0,1993-10-22,2008-07-09
308,001112,P,01,LU,10720.0,6611.0,1983-11-22,1989-07-31
312,001113,C,01,LC,43967.0,20022.0,1966-11-22,1988-04-29
315,001114,P,01,LC,10728.0,53.0,1972-12-14,1976-05-28
317,001115,P,01,LU,10752.0,58.0,1979-12-05,2000-12-29
322,001117,P,02,LC,10779.0,65.0,1978-10-03,2003-05-07
323,001117,P,02,LC,10779.0,65.0,2005-10-14,
325,001118,P,01,LU,57306.0,25563.0,1972-12-20,1984-11-30
326,001119,C,00X,LU,10065.0,20023.0,1982-01-01,1982-01-28
327,001119,P,01,LU,10065.0,20023.0,1982-01-29,
328,001120,C,00X,LU,17224.0,22757.0,1950-01-01,1962-01-30
329,001120,P,01,LU,17224.0,22757.0,1962-01-31,1988-10-31
331,001121,P,01,LU,61487.0,59.0,1975-02-07,
334,001122,P,01,LC,47650.0,24955.0,1969-02-05,1987-12-31
337,001123,C,01,LU,85105.0,7521.0,1985-04-29,1986-12-19
342,001124,P,01,LU,10787.0,73.0,1972-12-14,1988-03-24
345,001125,P,01,LU,10795.0,7002.0,1984-04-26,1985-08-30
347,001126,C,00X,LU,10808.0,62.0,1973-06-01,1978-01-30
348,001126,C,01,LU,10808.0,62.0,1978-01-31,1990-06-19
352,001128,P,01,LU,85113.0,7245.0,1984-10-02,1995-01-31
354,001129,P,01,LU,10816.0,5232.0,1981-12-10,1983-08-31
357,001130,C,01,LU,10824.0,7087.0,1984-06-15,1987-06-10
360,001131,P,01,LU,10832.0,22229.0,1972-12-14,1973-07-31
362,001133,C,00X,LU,22488.0,23147.0,1950-01-01,1962-01-30
363,001133,P,01,LU,22488.0,23147.0,1962-01-31,1974-04-30
364,001134,C,00X,LC,10859.0,60.0,1973-01-01,1978-01-30
365,001134,P,01,LC,10859.0,60.0,1978-01-31,1978-10-03
368,001135,P,01,LU,57461.0,25571.0,1973-11-26,1985-11-29
372,001137,P,01,LU,10867.0,76.0,1980-12-05,1995-10-31
375,001138,P,01,LU,10875.0,347.0,1972-12-14,1996-01-31
376,001139,C,00X,LU,10891.0,54.0,1973-02-01,1978-01-30
377,001139,P,01,LU,10891.0,54.0,1978-01-31,1981-08-31
380,001140,C,01,LU,10904.0,6815.0,1984-01-26,1986-10-27
382,001141,C,00X,LU,10912.0,55.0,1973-04-01,1978-01-30
383,001141,C,01,LU,10912.0,55.0,1978-01-31,1991-07-03
386,001142,P,01,LU,46624.0,2454.0,1982-01-29,1986-09-30
389,001143,P,01,LU,78523.0,27331.0,1984-05-10,1985-03-29
393,001145,C,00X,LU,65840.0,78.0,1976-11-01,1980-07-30
394,001145,P,01,LU,65840.0,78.0,1980-07-31,1987-12-31
398,001146,P,01,LU,10971.0,77.0,1972-12-14,1981-04-14
401,001147,P,01,LU,10990.0,410.0,1979-01-31,1987-10-23
403,001148,P,01,LU,64514.0,420.0,1980-11-21,2001-02-28
406,001150,P,01,LU,28716.0,23566.0,1966-04-29,1984-11-30
408,001151,P,01,LU,10998.0,6943.0,1984-03-22,1996-12-31
412,001153,P,01,LU,28724.0,23567.0,1962-07-02,1983-01-31
415,001154,P,01,LU,85164.0,7538.0,1985-05-10,2003-12-23
418,001155,C,01,LU,11010.0,87.0,1975-06-30,1993-07-30
422,001156,P,01,LU,46973.0,24915.0,1968-10-17,1975-06-30
425,001157,P,01,LU,28732.0,23568.0,1962-07-02,1972-10-31
430,001159,P,01,LU,28740.0,23569.0,1966-01-31,1986-09-05
434,001161,P,01,LU,61241.0,211.0,1972-12-14,
436,001162,P,01,LU,11026.0,68.0,1978-10-06,1985-11-29
438,001163,C,01,LU,11034.0,245.0,1982-01-29,1988-03-21
445,001164,P,01,LC,11042.0,61.0,1980-11-24,1986-07-28
446,001164,P,01,LC,11042.0,61.0,1986-08-22,2002-07-29
447,001164,P,10,LC,90284.0,45424.0,2004-07-14,2006-01-06
450,001165,C,01,LC,11069.0,85.0,1981-04-14,1988-04-27
453,001166,P,90,LC,11077.0,374.0,1981-05-12,2015-08-20
455,001167,P,01,LU,11085.0,5260.0,1982-01-04,1982-10-29
460,001169,P,01,LC,11114.0,6414.0,1983-09-22,1988-11-22
462,001170,C,00X,LC,11149.0,6737.0,1983-12-21,1984-01-30
463,001170,P,01,LC,11149.0,6737.0,1984-01-31,1985-07-30
465,001171,P,01,LC,11149.0,6737.0,1985-07-31,1992-12-04
468,001172,C,01,LC,15916.0,321.0,1983-06-24,1985-09-29
469,001172,C,01,LC,15916.0,321.0,1986-07-10,1986-12-31
470,001173,C,00X,LU,11157.0,376.0,1973-02-01,1975-02-27
471,001173,C,01,LU,11157.0,376.0,1975-02-28,2013-06-28
474,001174,C,01,LC,11165.0,22254.0,1972-12-14,1979-12-31
477,001175,P,01,LU,44396.0,24752.0,1967-05-03,1973-05-31
482,001177,P,01,LC,46850.0,20026.0,1968-09-24,2000-12-13
483,001177,P,01,LC,88845.0,41072.0,2000-12-14,2018-11-30
485,001178,C,00X,LU,11173.0,94.0,1974-01-01,1974-01-30
486,001178,P,01,LU,11173.0,94.0,1974-01-31,1992-11-30
488,001179,C,00X,LU,52310.0,25242.0,1974-01-01,1978-01-30
489,001179,P,01,LU,52310.0,25242.0,1978-01-31,1982-01-29
493,001180,P,01,LU,50569.0,25134.0,1970-05-14,1985-02-21
497,001181,P,01,LC,57349.0,25566.0,1973-08-09,1989-05-31
498,001181,P,01,LC,75618.0,22086.0,1989-06-08,1993-10-01
501,001182,P,01,LU,57613.0,25577.0,1972-12-14,1984-09-28
504,001183,P,01,LC,11181.0,6059.0,1983-06-08,1998-03-09
507,001184,P,01,LC,11200.0,114.0,1981-09-11,1984-01-26
513,001186,P,01,LC,78223.0,26174.0,1982-11-01,
517,001188,P,01,LU,11229.0,10132.0,1981-04-06,1983-05-31
530,001192,C,00X,LU,17232.0,22758.0,1949-08-01,1962-01-30
531,001192,P,01,LU,17232.0,22758.0,1962-01-31,1978-12-08
535,001194,P,01,LU,56266.0,20028.0,1972-12-14,1998-10-30
536,001195,C,00X,LU,11253.0,9.0,1974-01-01,1978-01-30
537,001195,P,01,LU,11253.0,9.0,1978-01-31,1985-06-28
539,001196,P,01,LU,44820.0,24779.0,1968-01-31,1976-09-30
543,001197,C,01,LU,39116.0,20029.0,1963-04-23,1995-07-14
547,001199,C,01,LU,11280.0,135.0,1979-05-11,1980-08-11
550,001200,P,01,LC,11288.0,31.0,1972-12-14,1973-05-31
552,001201,P,01,LU,11296.0,330.0,1979-01-31,1988-12-30
555,001202,P,01,LC,11309.0,39.0,1981-07-09,1983-08-24
556,001203,C,01,LU,61081.0,143.0,1973-01-31,2000-02-29
558,001204,C,00X,LU,11317.0,144.0,1973-08-01,1979-01-30
559,001204,C,01,LU,11317.0,144.0,1979-01-31,1984-08-16
563,001206,P,01,LC,11325.0,22268.0,1972-12-14,1973-12-31
566,001208,P,01,LU,11341.0,5678.0,1982-11-05,1991-07-31
568,001209,P,01,LC,28222.0,20030.0,1962-01-31,
572,001210,P,01,LC,11368.0,6977.0,1984-04-23,
574,001211,C,00X,LC,43756.0,24706.0,1966-09-06,1968-12-31
576,001212,P,01,LU,11376.0,359.0,1979-01-31,1992-01-31
581,001213,P,01,LU,51721.0,20031.0,1971-01-05,2003-08-15
583,001214,P,01,LU,67125.0,6325.0,1983-08-25,1987-04-30
584,001215,C,00X,LU,10102.0,22164.0,1950-01-01,1962-01-30
585,001215,P,01,LU,10102.0,22164.0,1962-01-31,1978-04-28
592,001217,C,00X,LU,46244.0,161.0,1973-07-01,1978-06-29
593,001217,C,01,LU,46244.0,161.0,1978-06-30,1980-11-03
596,001218,P,01,LU,44775.0,24775.0,1967-08-03,1976-04-30
599,001219,P,01,LC,47378.0,24936.0,1968-12-19,1974-05-31
602,001220,P,01,LC,41793.0,24562.0,1965-04-07,1975-07-31
604,001221,P,01,LU,25662.0,23350.0,1962-01-31,1982-08-31
606,001222,C,00X,LC,63415.0,25710.0,1982-01-01,1982-01-28
607,001222,P,01,LC,63415.0,25710.0,1982-01-29,1988-04-22
618,001226,P,02,LU,64848.0,5335.0,1982-03-24,1997-08-29
621,001227,P,01,LU,67133.0,25779.0,1985-01-07,1986-05-30
626,001228,C,02,LC,11456.0,5348.0,1982-05-14,1986-01-22
627,001228,C,02,LC,11456.0,5348.0,1988-08-23,1990-02-01
628,001228,C,02,LC,11456.0,5348.0,1990-04-23,2011-07-25
631,001229,P,01,LU,11472.0,183.0,1972-12-14,1978-07-31
633,001230,P,01,LU,28804.0,20035.0,1966-01-31,
638,001232,P,01,LU,11520.0,167.0,1974-11-05,1979-08-31
641,001233,C,01,LU,11536.0,285.0,1980-05-30,1987-06-18
644,001234,P,01,LU,11587.0,392.0,1972-12-14,
647,001235,P,01,LU,49584.0,20036.0,1969-11-25,1999-12-31
650,001236,P,01,LU,57998.0,132.0,1972-12-14,1983-07-29
658,001238,P,01,LC,82233.0,27934.0,1995-09-21,2002-04-05
662,001239,P,01,LC,42083.0,8127.0,1965-06-11,2011-05-10
666,001240,P,01,LU,50032.0,20038.0,1970-02-10,2006-06-30
668,001241,P,01,LU,11608.0,7161.0,1984-08-01,1989-06-30
672,001242,P,01,LC,11616.0,186.0,1979-01-31,1980-06-27
675,001243,C,00X,LC,24264.0,20039.0,1950-05-31,1962-01-30
676,001243,P,01,LC,24264.0,20039.0,1962-01-31,2007-11-14
679,001244,P,01,LC,11624.0,5686.0,1983-05-26,2004-07-30
682,001245,P,02,LC,85244.0,7691.0,1985-08-15,1989-10-31
685,001246,P,01,LU,48514.0,20040.0,1969-06-16,2008-10-31
687,001247,P,01,LU,56282.0,25506.0,1972-12-14,1981-03-31
690,001248,P,01,LU,53321.0,25311.0,1971-10-04,1978-01-31
692,001249,P,01,LU,11659.0,154.0,1981-09-08,1985-05-31
696,001250,C,01,LC,85252.0,7371.0,1985-01-07,1997-01-13
698,001251,C,00X,LU,48733.0,174.0,1974-01-01,1978-01-30
699,001251,P,01,LU,48733.0,174.0,1978-01-31,1981-02-27
702,001252,P,01,LU,11683.0,155.0,1972-12-14,1975-07-31
706,001253,P,01,LU,63845.0,4.0,1972-12-14,1997-02-28
709,001254,P,01,LU,11691.0,157.0,1972-12-14,
712,001255,P,02,LC,11704.0,5198.0,1981-11-19,1996-08-29
716,001257,P,01,LU,49330.0,20041.0,1969-10-07,
720,001258,C,01,LC,11712.0,5261.0,1982-02-17,1983-10-28
724,001259,C,00X,LC,11739.0,35.0,1983-08-01,1984-01-30
725,001259,C,01,LC,11739.0,35.0,1984-01-31,1986-11-04
726,001259,C,01,LC,11739.0,35.0,1996-12-05,1999-04-27
727,001259,C,01,LC,11739.0,35.0,2004-09-09,2009-01-05
730,001260,P,01,LU,69171.0,6397.0,1983-09-20,1998-12-31
732,001261,P,01,LU,11755.0,165.0,1979-09-26,1984-04-30
744,001263,P,07,LC,22182.0,58827.0,2021-10-20,
746,001263,P,01,LC,81765.0,28041.0,1995-07-14,2000-11-30
749,001264,C,00X,LU,11763.0,164.0,1973-07-01,1979-01-30
750,001264,C,01,LU,11763.0,164.0,1979-01-31,1992-03-11
755,001266,P,01,LU,11790.0,153.0,1972-12-14,
760,001268,P,01,LU,11798.0,4366.0,1979-06-18,1981-11-30
762,001269,P,01,LU,85279.0,7740.0,1985-09-18,1987-07-31
763,001270,C,00X,LU,28820.0,6.0,1973-01-01,1978-07-30
764,001270,P,01,LU,28820.0,6.0,1978-07-31,1982-04-30
766,001271,C,01,LU,11827.0,6916.0,1984-03-13,1990-04-30
771,001274,C,00X,LC,17400.0,22775.0,1974-01-01,1974-01-30
772,001274,P,01,LC,17400.0,22775.0,1974-01-31,1986-12-23
773,001274,P,01,LC,71271.0,20043.0,1987-01-30,2022-10-31
776,001275,P,01,LC,11835.0,163.0,1982-01-29,1985-11-29
782,001277,P,02,LC,11843.0,17.0,1972-12-14,1988-10-18
785,001278,C,00X,LC,18817.0,20044.0,1950-01-01,1962-01-30
786,001278,C,01,LC,18817.0,20044.0,1962-01-31,1990-09-28
787,001278,C,01,LC,77829.0,29239.0,1992-08-19,2001-02-05
788,001279,C,00X,LU,10137.0,20045.0,1951-01-01,1962-01-30
789,001279,P,01,LU,10137.0,20045.0,1962-01-31,2011-02-28
793,001281,C,01,LU,44740.0,20046.0,1967-07-27,2003-07-31
799,001283,P,01,LU,11851.0,293.0,1972-12-14,2005-05-11
802,001284,P,01,LU,59635.0,305.0,1972-12-14,1980-03-31
805,001285,C,01,LU,28855.0,23581.0,1962-07-02,1988-05-31
808,001286,C,01,LU,85295.0,7242.0,1984-10-01,1992-06-30
813,001288,P,01,LU,58747.0,25614.0,1976-01-20,1979-03-23
815,001289,P,01,LC,28863.0,23582.0,1965-01-29,1975-12-31
816,001290,C,00X,LC,11870.0,151.0,1974-01-01,1974-01-30
817,001290,P,01,LC,11870.0,151.0,1974-01-31,1988-01-29
820,001291,P,01,LU,28871.0,23583.0,1962-07-02,1974-05-31
823,001292,P,01,LU,11886.0,160.0,1978-01-31,1982-07-30
826,001293,P,01,LU,11894.0,159.0,1972-12-14,1982-09-30
829,001294,P,01,LU,46818.0,24904.0,1968-09-17,1982-09-30
831,001295,C,00X,LU,19860.0,22954.0,1949-07-01,1962-01-30
832,001295,P,01,LU,19860.0,22954.0,1962-01-31,1973-07-06
835,001296,C,01,LU,11915.0,6857.0,1984-02-15,1986-09-15
838,001297,C,01,LU,26331.0,20050.0,1963-03-29,2000-10-02
841,001299,C,00X,LU,11931.0,365.0,1973-07-01,1976-07-29
842,001299,P,01,LU,11931.0,365.0,1976-07-30,1990-03-15
844,001300,C,00X,LC,10145.0,22168.0,1950-01-01,1962-01-30
845,001300,P,01,LC,10145.0,22168.0,1962-01-31,
847,001301,C,00X,LU,17304.0,22766.0,1950-02-01,1962-01-30
848,001301,P,01,LU,17304.0,22766.0,1962-01-31,1986-12-30
851,001302,C,00X,LC,22074.0,21872.0,1955-07-01,1962-01-30
852,001302,P,01,LC,22074.0,21872.0,1962-01-31,1978-11-20
853,001302,P,01,LC,22074.0,21872.0,1986-03-20,1987-07-22
855,001303,C,00X,LC,74473.0,6015.0,1976-06-28,1977-07-28
856,001303,P,01,LC,74473.0,6015.0,1977-07-29,1980-07-31
859,001304,P,01,LU,63423.0,385.0,1972-12-14,1983-10-31
862,001305,P,01,LC,53655.0,25330.0,1971-12-03,1977-12-31
866,001306,P,01,LU,11950.0,185.0,1972-12-14,1982-03-31
869,001308,C,00X,LC,10153.0,22169.0,1950-01-01,1962-01-30
870,001308,C,02,LC,10153.0,22169.0,1962-01-31,1988-12-02
871,001308,C,02,LC,90335.0,22169.0,2004-09-13,2011-02-28
874,001309,P,01,LU,44724.0,24771.0,1967-07-20,1971-12-31
878,001311,C,02,LU,85033.0,5931.0,1983-04-20,1995-08-31
882,001312,P,01,LC,11966.0,175.0,1978-01-31,1981-02-27
884,001313,P,01,LU,28898.0,23584.0,1965-01-29,1970-06-30
887,001314,P,01,LU,42737.0,24631.0,1965-11-30,1982-07-30
889,001315,P,01,LU,11974.0,6716.0,1983-12-15,1986-08-29
896,001318,P,01,LU,41443.0,20057.0,1965-01-18,2007-11-30
899,001319,P,01,LU,11982.0,187.0,1972-12-14,1981-06-30
903,001320,P,01,LU,84284.0,417.0,1972-12-14,1973-08-28
907,001322,P,01,LU,49103.0,25047.0,1969-08-28,1984-07-31
910,001323,P,01,LC,42497.0,24617.0,1965-09-30,1975-06-30
911,001324,C,00X,LU,12002.0,172.0,1974-08-01,1979-01-30
912,001324,C,01,LU,12002.0,172.0,1979-01-31,2003-01-31
915,001325,P,01,LU,61268.0,25659.0,1979-12-14,1986-12-31
917,001326,C,00X,LU,12037.0,177.0,1975-01-01,1979-01-30
918,001326,C,01,LU,12037.0,177.0,1979-01-31,1980-01-25
921,001327,P,01,LU,45911.0,20058.0,1968-03-13,
924,001328,C,01,LC,12045.0,364.0,1979-10-16,1982-10-07
925,001328,C,01,LC,12045.0,364.0,1985-05-12,1996-11-11
928,001329,C,01,LU,12053.0,158.0,1979-01-31,1982-10-11
930,001330,P,01,LU,12061.0,182.0,1977-10-31,1981-03-31
932,001331,C,00X,LU,68814.0,162.0,1973-05-01,1979-12-30
933,001331,P,01,LU,68814.0,162.0,1979-12-31,2002-07-11
936,001332,C,00X,LC,12096.0,309.0,1976-08-24,1978-01-30
937,001332,C,01,LC,12096.0,309.0,1978-01-31,1989-01-18
941,001333,C,01,LU,78233.0,26525.0,1982-11-01,1984-09-05
944,001334,P,01,LU,12117.0,170.0,1981-06-18,2001-09-17
949,001338,C,00X,LC,12125.0,5180.0,1981-11-11,1989-06-30
956,001341,P,01,LC,12141.0,179.0,1972-12-14,1985-07-18
959,001342,C,01,LC,12160.0,3.0,1980-01-31,1982-10-14
962,001343,C,01,LU,40096.0,24432.0,1964-01-15,1983-12-30
966,001344,P,01,LU,44580.0,24763.0,1967-06-19,1983-11-30
970,001345,C,01,LU,42032.0,24585.0,1965-06-03,1980-04-25
972,001346,P,01,LU,12168.0,7118.0,1984-07-03,1988-03-31
974,001347,C,00X,LC,63853.0,184.0,1975-05-15,1975-11-27
975,001347,C,01,LC,63853.0,184.0,1975-11-28,1985-10-31
977,001348,C,00X,LU,12176.0,22334.0,1973-02-01,1979-01-30
978,001348,C,01,LU,12176.0,22334.0,1979-01-31,1984-08-31
981,001349,C,01,LU,12184.0,181.0,1972-12-14,1981-09-30
983,001350,P,01,LU,12192.0,5675.0,1982-11-04,1990-08-31
985,001351,P,01,LU,12205.0,7167.0,1984-08-07,1998-11-30
989,001356,C,00X,LC,24643.0,20060.0,1951-06-11,1962-01-30
990,001356,P,01,LC,24643.0,20060.0,1962-01-31,2016-10-31
994,001358,C,01,LU,47474.0,24942.0,1969-01-15,1974-01-31
996,001359,P,01,LU,64856.0,20061.0,1983-06-08,2001-06-29
1001,001360,C,01,LC,12213.0,205.0,1980-01-24,1992-05-26
1002,001360,C,01,LC,84260.0,15153.0,1996-11-19,2007-09-12
1008,001362,C,00X,LU,24555.0,23278.0,1951-02-28,1962-01-30
1009,001362,P,01,LU,24555.0,23278.0,1962-01-31,1982-11-03
1013,001363,C,00X,LC,12221.0,193.0,1978-04-13,1979-01-30
1014,001363,C,01,LC,12221.0,193.0,1979-01-31,1989-08-16
1015,001363,C,01,LC,12221.0,193.0,1995-12-19,2004-12-20
1018,001364,P,01,LU,12240.0,242.0,1972-12-14,1984-02-29
1019,001365,C,00X,LC,10161.0,20063.0,1950-01-01,1962-01-30
1020,001365,P,01,LC,10161.0,20063.0,1962-01-31,1993-10-29
1021,001366,C,00X,LU,10188.0,22170.0,1950-01-01,1962-01-30
1022,001366,P,01,LU,10188.0,22170.0,1962-01-31,1978-06-30
1025,001367,C,02,LC,12264.0,198.0,1979-02-13,1986-06-24
1027,001368,P,01,LU,12272.0,292.0,1980-07-17,1986-08-29
1030,001369,P,01,LC,66229.0,2402.0,1981-01-06,1989-12-29
1033,001370,C,01,LC,12299.0,6350.0,1983-12-30,1993-09-27
1037,001372,P,01,LU,12320.0,1336.0,1972-12-14,2003-03-31
1039,001373,C,00X,LC,28935.0,23588.0,1962-07-02,1965-01-28
